tank_id	time	pH	temp	quantity_liters
7	2025-01-06 08:00:00	3.16	27.74	544
2	2025-01-02 12:00:00	3.1	27.08	818
5	2025-01-01 23:00:00	3.46	22.75	587
2	2025-01-09 09:00:00	3.83	25.71	570
4	2025-01-02 01:00:00	3.66	26.64	281
4	2025-01-02 12:00:00	3.28	25.81	573
3	2025-01-06 11:00:00	3.21	23.6	899
2	2025-01-10 20:00:00	3.17	26.37	367
8	2025-01-07 08:00:00	3.99	25.84	770
4	2025-01-11 10:00:00	3.84	26.66	434
1	2025-01-06 12:00:00	3.27	23.27	780
6	2025-01-04 20:00:00	3.5	27.31	858
8	2025-01-03 08:00:00	3.14	26.47	751
5	2025-01-10 13:00:00	3.9	24.4	424
3	2025-01-09 15:00:00	3.09	22.28	312
3	2025-01-11 05:00:00	3.79	24.53	265
7	2025-01-07 19:00:00	4.0	25.17	766
1	2025-01-11 23:00:00	3.11	27.31	968
5	2025-01-11 10:00:00	3.11	24.61	664
1	2025-01-05 16:00:00	3.76	25.05	308
5	2025-01-11 16:00:00	3.61	22.92	980
3	2025-01-09 16:00:00	3.92	25.59	700
1	2025-01-02 11:00:00	3.88	26.99	514
4	2025-01-01 07:00:00	3.88	27.68	287
8	2025-01-02 17:00:00	3.77	22.77	686
9	2025-01-03 08:00:00	3.53	25.64	416
9	2025-01-04 22:00:00	3.31	27.97	865
6	2025-01-08 16:00:00	3.45	23.49	265
6	2025-01-01 18:00:00	3.55	25.53	207
2	2025-01-11 01:00:00	3.23	27.43	538
2	2025-01-09 07:00:00	3.28	24.91	752
3	2025-01-10 18:00:00	3.47	26.71	616
4	2025-01-02 03:00:00	3.66	24.13	620
8	2025-01-01 21:00:00	3.65	25.88	262
7	2025-01-06 03:00:00	3.25	23.14	659
3	2025-01-07 05:00:00	3.28	23.5	277
8	2025-01-09 03:00:00	3.05	28.0	215
2	2025-01-04 05:00:00	3.41	24.89	610
1	2025-01-03 12:00:00	3.0	24.34	665
5	2025-01-07 22:00:00	3.96	27.97	769
8	2025-01-03 06:00:00	3.3	27.81	793
9	2025-01-01 23:00:00	3.31	22.3	688
9	2025-01-09 05:00:00	3.06	25.05	390
2	2025-01-10 02:00:00	3.68	23.41	322
4	2025-01-10 19:00:00	3.04	22.49	873
9	2025-01-06 08:00:00	3.2	26.3	444
5	2025-01-07 04:00:00	3.67	23.8	523
2	2025-01-01 14:00:00	3.62	25.38	302
2	2025-01-09 06:00:00	3.51	22.79	557
2	2025-01-04 11:00:00	3.28	24.63	756
5	2025-01-10 20:00:00	3.53	26.01	767
5	2025-01-11 03:00:00	3.94	22.81	318
2	2025-01-09 04:00:00	3.27	25.63	934
6	2025-01-04 21:00:00	3.63	23.58	700
5	2025-01-01 02:00:00	3.63	26.98	245
1	2025-01-06 04:00:00	3.64	23.57	959
8	2025-01-09 22:00:00	3.43	22.06	277
3	2025-01-09 01:00:00	3.83	25.5	351
7	2025-01-03 01:00:00	3.31	27.39	240
6	2025-01-04 21:00:00	3.25	22.62	998
9	2025-01-07 19:00:00	3.75	27.55	442
3	2025-01-03 13:00:00	3.02	26.42	540
7	2025-01-11 23:00:00	3.81	23.6	918
2	2025-01-07 01:00:00	3.86	23.33	671
6	2025-01-05 07:00:00	3.22	25.96	608
6	2025-01-05 02:00:00	3.97	23.67	856
9	2025-01-07 21:00:00	3.98	25.22	228
2	2025-01-05 05:00:00	3.58	27.9	239
2	2025-01-10 13:00:00	3.35	26.72	646
9	2025-01-02 12:00:00	3.9	23.14	245
7	2025-01-01 16:00:00	3.93	25.23	936
4	2025-01-06 13:00:00	3.07	25.99	538
6	2025-01-11 03:00:00	3.72	23.8	516
7	2025-01-06 12:00:00	3.7	25.33	396
7	2025-01-11 12:00:00	3.68	27.42	830
5	2025-01-07 17:00:00	3.83	23.82	415
7	2025-01-10 19:00:00	3.65	24.79	652
4	2025-01-09 15:00:00	3.79	27.76	953
3	2025-01-11 02:00:00	3.28	25.98	834
6	2025-01-02 07:00:00	3.67	23.35	403
3	2025-01-01 01:00:00	3.24	24.85	986
2	2025-01-08 13:00:00	3.89	25.45	935
7	2025-01-08 12:00:00	3.24	25.94	205
2	2025-01-07 07:00:00	3.18	27.75	730
8	2025-01-01 17:00:00	3.25	27.09	667
3	2025-01-08 21:00:00	3.53	25.35	524
8	2025-01-10 23:00:00	3.89	24.56	761
8	2025-01-03 23:00:00	3.86	24.7	969
4	2025-01-11 08:00:00	3.77	25.13	841
4	2025-01-05 14:00:00	3.08	23.71	478
6	2025-01-06 17:00:00	3.08	22.9	592
3	2025-01-04 02:00:00	3.41	23.99	677
7	2025-01-01 06:00:00	3.83	24.34	988
1	2025-01-10 12:00:00	3.48	27.66	505
7	2025-01-07 17:00:00	3.75	25.28	817
4	2025-01-08 07:00:00	3.27	24.91	598
6	2025-01-11 21:00:00	3.8	26.35	678
3	2025-01-10 17:00:00	3.03	24.36	777
1	2025-01-02 20:00:00	3.43	27.2	386
1	2025-01-05 12:00:00	3.33	24.73	545
